customerID,gender,SeniorCitizen,Partner,Dependents,tenure,MonthlyCharges,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn,tenure_group,avg_charge_per_month,services_count,is_auto_pay,is_high_monthly_charge
3638-WEABW,Female,No,Yes,No,58,59.9,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),3505.1,No,25+,60.4327586206897,2,1,0
6322-HRPFA,Male,No,Yes,Yes,49,59.6,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),2970.3,No,25+,60.6183673469388,3,1,0
6865-JZNKO,Female,No,No,No,30,55.3,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1530.6,No,25+,51.02,2,1,0
6467-CHFZW,Male,No,Yes,Yes,47,99.35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4749.15,Yes,25+,101.045744680851,3,0,1
8665-UTDHZ,Male,No,Yes,Yes,1,30.2,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Yes,0-6,30.2,1,0,0
5248-YGIJN,Male,No,Yes,No,72,90.25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6369.45,No,25+,88.4645833333333,6,1,1
8773-HHUOZ,Female,No,No,Yes,17,64.7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1093.1,Yes,13-24,64.3,2,0,0
3841-NFECX,Female,Yes,Yes,No,71,96.35,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),6766.95,No,25+,95.3091549295775,4,1,1
4929-XIHVW,Male,Yes,Yes,No,2,95.5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),181.65,No,0-6,90.825,3,1,1
6827-IEAUQ,Female,No,Yes,Yes,27,66.15,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,1874.45,No,25+,69.4240740740741,4,0,0
7310-EGVHZ,Male,No,No,No,1,20.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,No,0-6,20.2,0,1,0
3413-BMNZE,Male,Yes,No,No,1,45.25,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,No,0-6,45.25,0,1,0
6234-RAAPL,Female,No,Yes,Yes,72,99.9,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),7251.7,No,25+,100.718055555556,4,1,1
6047-YHPVI,Male,No,No,No,5,69.7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,316.9,Yes,0-6,63.38,0,0,0
6572-ADKRS,Female,No,No,No,46,74.8,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),3548.3,No,25+,77.1369565217391,1,1,0
5380-WJKOV,Male,No,No,No,34,106.35,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3549.25,Yes,25+,104.389705882353,4,0,1
8168-UQWWF,Female,No,No,No,11,97.85,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1105.4,Yes,7-12,100.490909090909,3,1,1
8865-TNMNX,Male,No,Yes,Yes,10,49.55,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,475.7,No,7-12,47.57,1,0,0
9489-DEDVP,Female,No,Yes,Yes,70,69.2,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),4872.35,No,25+,69.605,3,1,0
9867-JCZSP,Female,No,Yes,Yes,17,20.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,418.25,No,13-24,24.6029411764706,0,0,0
4671-VJLCL,Female,No,No,No,63,79.85,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),4861.45,No,25+,77.165873015873,5,1,0
4080-IIARD,Female,No,Yes,No,13,76.2,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,981.45,No,13-24,75.4961538461538,4,0,0
3714-NTNFO,Female,No,No,No,49,84.5,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3906.7,No,25+,79.7285714285714,1,0,1
5948-UJZLF,Male,No,No,No,2,49.25,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,97.0,No,0-6,48.5,1,0,0
7760-OYPDY,Female,No,No,No,2,80.65,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,144.15,Yes,0-6,72.075,1,0,1
7639-LIAYI,Male,No,No,No,52,79.75,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4217.8,No,25+,81.1115384615385,4,1,0
2954-PIBKO,Female,No,Yes,Yes,69,64.15,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),4254.1,No,25+,61.6536231884058,3,1,0
8012-SOUDQ,Female,Yes,No,No,43,90.25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,3838.75,No,25+,89.2732558139535,2,0,1
9420-LOJKX,Female,No,No,No,15,99.1,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1426.4,Yes,13-24,95.0933333333333,4,1,1
6575-SUVOI,Female,Yes,Yes,No,25,69.5,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),1752.65,No,25+,70.106,3,1,0
7495-OOKFY,Female,Yes,Yes,No,8,80.65,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),633.3,Yes,7-12,79.1625,1,1,1
4667-QONEA,Female,Yes,Yes,Yes,60,74.85,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),4456.35,No,25+,74.2725,5,1,0
1658-BYGOY,Male,Yes,No,No,18,95.45,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1752.55,Yes,13-24,97.3638888888889,2,0,1
8769-KKTPH,Female,No,Yes,Yes,63,99.65,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),6311.2,No,25+,100.177777777778,3,1,1
5067-XJQFU,Male,Yes,Yes,Yes,66,108.45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,7076.35,No,25+,107.217424242424,5,0,1
3957-SQXML,Female,No,Yes,Yes,34,24.95,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),894.3,No,25+,26.3029411764706,0,1,0
5954-BDFSG,Female,No,No,No,72,107.5,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7853.7,No,25+,109.079166666667,4,1,1
0434-CSFON,Female,No,Yes,No,47,100.5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4707.1,No,25+,100.151063829787,3,0,1
1215-FIGMP,Male,No,No,No,60,89.9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),5450.7,No,25+,90.845,2,1,1
0526-SXDJP,Male,No,Yes,No,72,42.1,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),2962.0,No,25+,41.1388888888889,3,1,0
0557-ASKVU,Female,No,Yes,Yes,18,54.4,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),957.1,No,13-24,53.1722222222222,2,1,0
5698-BQJOH,Female,No,No,No,9,94.4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,857.25,Yes,7-12,95.25,2,0,1
5122-CYFXA,Female,No,No,No,3,75.3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,244.1,No,0-6,81.3666666666667,4,0,0
8627-ZYGSZ,Male,No,Yes,No,47,78.9,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,3650.35,No,25+,77.6670212765957,1,0,0
3410-YOQBQ,Female,No,No,No,31,79.2,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,2497.2,No,25+,80.5548387096774,5,0,0
3170-NMYVV,Female,No,Yes,Yes,50,20.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),930.9,No,25+,18.618,0,1,0
7410-OIEDU,Male,No,No,No,10,79.85,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,887.35,No,7-12,88.735,2,0,0
2273-QCKXA,Male,No,No,No,1,49.05,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,No,0-6,49.05,1,0,0
0731-EBJQB,Female,No,Yes,Yes,52,20.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1090.65,No,25+,20.9740384615385,0,0,0
1891-QRQSA,Male,Yes,Yes,Yes,64,111.6,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7099.0,No,25+,110.921875,5,1,1
8028-PNXHQ,Male,No,Yes,Yes,62,24.25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1424.6,No,25+,22.9774193548387,0,1,0
5630-AHZIL,Female,No,No,Yes,3,64.5,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),177.4,No,0-6,59.1333333333333,3,1,0
2673-CXQEU,Female,Yes,No,No,56,110.5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,6139.5,No,25+,109.633928571429,5,0,1
6416-JNVRK,Female,No,No,No,46,55.65,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),2688.85,No,25+,58.4532608695652,1,1,0
5590-ZSKRV,Female,No,Yes,Yes,8,54.65,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,482.25,No,7-12,60.28125,2,0,0
0191-ZHSKZ,Male,Yes,No,No,30,74.75,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2111.3,No,25+,70.3766666666667,4,0,0
3887-PBQAO,Female,No,Yes,Yes,45,25.9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1216.6,No,25+,27.0355555555556,0,1,0
5919-TMRGD,Female,No,No,Yes,1,79.35,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,Yes,0-6,79.35,1,0,0
8108-UXRQN,Female,No,Yes,Yes,11,50.55,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,565.35,No,7-12,51.3954545454545,3,0,0
9191-MYQKX,Female,No,Yes,No,7,75.15,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),496.9,Yes,7-12,70.9857142857143,1,1,0
9919-YLNNG,Female,No,No,No,42,103.8,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4327.5,No,25+,103.035714285714,5,1,1
0318-ZOPWS,Female,No,Yes,No,49,20.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),973.35,No,25+,19.8642857142857,0,1,0
4445-ZJNMU,Male,No,No,No,9,99.3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),918.75,No,7-12,102.083333333333,3,1,1
4808-YNLEU,Female,No,Yes,No,35,62.15,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),2215.45,No,25+,63.2985714285714,2,1,0
1862-QRWPE,Female,No,Yes,Yes,48,20.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1057.0,No,25+,22.0208333333333,0,1,0
2796-NNUFI,Female,No,Yes,Yes,46,19.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,927.1,No,25+,20.154347826087,0,0,0
3016-KSVCP,Male,No,Yes,No,29,33.75,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1009.25,No,25+,34.801724137931,1,0,0
4767-HZZHQ,Male,No,Yes,Yes,30,82.05,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),2570.2,No,25+,85.6733333333333,2,1,1
2424-WVHPL,Male,Yes,No,No,1,74.7,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,No,0-6,74.7,1,0,0
7233-PAHHL,Male,No,Yes,Yes,66,84.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,5714.25,No,25+,86.5795454545455,5,0,1
6067-NGCEU,Female,No,No,No,65,111.05,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),7107.0,No,25+,109.338461538462,5,1,1
9848-JQJTX,Male,No,No,No,72,100.9,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),7459.05,No,25+,103.597916666667,4,1,1
8637-XJIVR,Female,No,No,No,12,78.95,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,927.35,Yes,7-12,77.2791666666667,1,0,0
9803-FTJCG,Male,No,Yes,Yes,71,66.85,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),4748.7,No,25+,66.8830985915493,3,1,0
0278-YXOOG,Male,No,No,No,5,21.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,113.85,Yes,0-6,22.77,0,0,0
3212-KXOCR,Male,No,No,No,52,21.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1107.2,No,25+,21.2923076923077,0,1,0
4598-XLKNJ,Female,Yes,Yes,No,25,98.5,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2514.5,Yes,25+,100.58,4,0,1
6380-ARCEH,Male,No,No,No,1,20.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,No,0-6,20.2,0,0,0
3679-XASPY,Female,No,Yes,Yes,1,19.45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,No,0-6,19.45,0,0,0
7123-WQUHX,Male,No,No,No,38,95.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),3605.6,No,25+,94.8842105263158,3,1,1
5386-THSLQ,Female,Yes,Yes,No,66,45.55,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),3027.25,No,25+,45.8674242424242,3,1,0
3192-NQECA,Male,No,Yes,No,68,110.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7611.85,Yes,25+,111.938970588235,5,1,1
6180-YBIQI,Male,No,No,No,5,24.3,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,100.2,No,0-6,20.04,0,0,0
6728-DKUCO,Female,No,Yes,Yes,72,104.15,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,7303.05,No,25+,101.43125,4,0,1
9750-BOOHV,Female,No,No,No,32,30.15,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,927.65,No,25+,28.9890625,1,0,0
8597-CWYHH,Male,No,No,No,43,94.35,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,3921.3,No,25+,91.193023255814,2,0,1
2848-YXSMW,Male,No,Yes,Yes,72,19.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1363.25,No,25+,18.9340277777778,0,1,0
0486-HECZI,Male,No,Yes,No,55,96.75,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,5238.9,Yes,25+,95.2527272727273,3,0,1
4549-ZDQYY,Female,No,No,No,52,57.95,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),3042.25,No,25+,58.5048076923077,3,1,0
5712-AHQNN,Female,No,No,No,43,91.65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,3954.1,No,25+,91.9558139534884,3,0,1
4846-WHAFZ,Female,Yes,Yes,No,37,76.5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2868.15,Yes,25+,77.5175675675676,0,0,0
5256-SKJGO,Female,No,Yes,Yes,64,54.6,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,3423.5,No,25+,53.4921875,4,0,0
3071-VBYPO,Male,No,Yes,Yes,3,89.85,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,248.4,No,0-6,82.8,3,0,1
9560-BBZXK,Female,No,No,No,36,31.05,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),1126.35,No,25+,31.2875,1,1,0
5299-RULOA,Female,No,Yes,Yes,10,100.25,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1064.65,Yes,7-12,106.465,3,0,1
8402-OOOHJ,Female,No,No,No,41,20.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,835.15,No,25+,20.3695121951219,0,0,0
9445-ZUEQE,Male,No,Yes,Yes,27,85.2,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2151.6,No,25+,79.6888888888889,2,1,1
1091-SOZGA,Female,No,Yes,Yes,56,99.8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),5515.45,No,25+,98.4901785714286,3,1,1
2928-HLDBA,Female,No,No,No,6,20.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,112.75,No,0-6,18.7916666666667,0,0,0
0404-SWRVG,Male,No,No,No,3,74.4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,229.55,Yes,0-6,76.5166666666667,0,0,0
6497-TILVL,Female,No,Yes,Yes,7,50.7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,350.35,No,7-12,50.05,1,0,0
7219-TLZHO,Female,No,Yes,Yes,4,20.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,62.9,No,0-6,15.725,0,0,0
4622-YNKIJ,Male,No,No,No,33,88.95,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,3027.65,No,25+,91.7469696969697,3,0,1
4412-YLTKF,Female,Yes,No,No,27,78.05,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,2135.5,Yes,25+,79.0925925925926,1,0,0
6734-PSBAW,Male,No,Yes,No,72,23.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1723.95,No,25+,23.94375,0,1,0
3930-ZGWVE,Male,No,No,No,1,19.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,No,0-6,19.75,0,0,0
2639-UGMAZ,Male,Yes,No,No,71,56.45,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,3985.35,No,25+,56.1316901408451,4,0,0
2876-GZYZC,Female,No,No,No,13,85.95,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1215.65,No,13-24,93.5115384615385,1,0,1
6207-WIOLX,Female,No,Yes,Yes,25,58.6,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1502.65,Yes,25+,60.106,5,1,0
8587-XYZSF,Male,No,No,No,67,50.55,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),3260.1,No,25+,48.6582089552239,1,1,0
3091-FYHKI,Male,No,No,No,1,35.45,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,Yes,0-6,35.45,1,0,0
2372-HWUHI,Male,No,No,No,2,44.35,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,81.25,Yes,0-6,40.625,0,0,0
7799-LGRDP,Female,No,No,No,43,25.7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),1188.2,No,25+,27.6325581395349,0,1,0
7850-VWJUU,Female,No,No,No,23,75.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1778.5,No,13-24,77.3260869565217,1,1,0
3774-VBNXY,Female,No,Yes,Yes,64,20.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1277.75,No,25+,19.96484375,0,0,0
6217-KDYWC,Male,No,No,Yes,57,19.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1170.55,No,25+,20.5359649122807,0,0,0
0390-DCFDQ,Female,Yes,Yes,No,1,70.45,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,Yes,0-6,70.45,0,0,0
