customerID,gender,SeniorCitizen,Partner,Dependents,tenure,MonthlyCharges,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn
6234-RAAPL,Female,No,Yes,Yes,72,99.9,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),7251.7,No
6047-YHPVI,Male,No,No,No,5,69.7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,316.9,Yes
6572-ADKRS,Female,No,No,No,46,74.8,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),3548.3,No
5380-WJKOV,Male,No,No,No,34,106.35,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3549.25,Yes
8168-UQWWF,Female,No,No,No,11,97.85,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1105.4,Yes
8865-TNMNX,Male,No,Yes,Yes,10,49.55,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,475.7,No
9489-DEDVP,Female,No,Yes,Yes,70,69.2,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),4872.35,No
9867-JCZSP,Female,No,Yes,Yes,17,20.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,418.25,No
4671-VJLCL,Female,No,No,No,63,79.85,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),4861.45,No
4080-IIARD,Female,No,Yes,No,13,76.2,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,981.45,No
3714-NTNFO,Female,No,No,No,49,84.5,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3906.7,No
5948-UJZLF,Male,No,No,No,2,49.25,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,97.0,No
7760-OYPDY,Female,No,No,No,2,80.65,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,144.15,Yes
7639-LIAYI,Male,No,No,No,52,79.75,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4217.8,No
2954-PIBKO,Female,No,Yes,Yes,69,64.15,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),4254.1,No
8012-SOUDQ,Female,Yes,No,No,43,90.25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,3838.75,No
9420-LOJKX,Female,No,No,No,15,99.1,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1426.4,Yes
6575-SUVOI,Female,Yes,Yes,No,25,69.5,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),1752.65,No
7495-OOKFY,Female,Yes,Yes,No,8,80.65,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),633.3,Yes
4667-QONEA,Female,Yes,Yes,Yes,60,74.85,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),4456.35,No
1658-BYGOY,Male,Yes,No,No,18,95.45,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1752.55,Yes
8769-KKTPH,Female,No,Yes,Yes,63,99.65,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),6311.2,No
5067-XJQFU,Male,Yes,Yes,Yes,66,108.45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,7076.35,No
3957-SQXML,Female,No,Yes,Yes,34,24.95,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),894.3,No
5954-BDFSG,Female,No,No,No,72,107.5,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7853.7,No
0434-CSFON,Female,No,Yes,No,47,100.5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4707.1,No
1215-FIGMP,Male,No,No,No,60,89.9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),5450.7,No
0526-SXDJP,Male,No,Yes,No,72,42.1,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),2962.0,No
0557-ASKVU,Female,No,Yes,Yes,18,54.4,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),957.1,No
5698-BQJOH,Female,No,No,No,9,94.4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,857.25,Yes
5122-CYFXA,Female,No,No,No,3,75.3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,244.1,No
8627-ZYGSZ,Male,No,Yes,No,47,78.9,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,3650.35,No
3410-YOQBQ,Female,No,No,No,31,79.2,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,2497.2,No
3170-NMYVV,Female,No,Yes,Yes,50,20.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),930.9,No
7410-OIEDU,Male,No,No,No,10,79.85,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,887.35,No
2273-QCKXA,Male,No,No,No,1,49.05,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,No
0731-EBJQB,Female,No,Yes,Yes,52,20.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1090.65,No
1891-QRQSA,Male,Yes,Yes,Yes,64,111.6,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7099.0,No
8028-PNXHQ,Male,No,Yes,Yes,62,24.25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1424.6,No
5630-AHZIL,Female,No,No,Yes,3,64.5,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),177.4,No
2673-CXQEU,Female,Yes,No,No,56,110.5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,6139.5,No
6416-JNVRK,Female,No,No,No,46,55.65,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),2688.85,No
5590-ZSKRV,Female,No,Yes,Yes,8,54.65,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,482.25,No
0191-ZHSKZ,Male,Yes,No,No,30,74.75,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2111.3,No
3887-PBQAO,Female,No,Yes,Yes,45,25.9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1216.6,No
5919-TMRGD,Female,No,No,Yes,1,79.35,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,Yes
8108-UXRQN,Female,No,Yes,Yes,11,50.55,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,565.35,No
9191-MYQKX,Female,No,Yes,No,7,75.15,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),496.9,Yes
9919-YLNNG,Female,No,No,No,42,103.8,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4327.5,No
0318-ZOPWS,Female,No,Yes,No,49,20.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),973.35,No
4445-ZJNMU,Male,No,No,No,9,99.3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),918.75,No
4808-YNLEU,Female,No,Yes,No,35,62.15,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),2215.45,No
1862-QRWPE,Female,No,Yes,Yes,48,20.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1057.0,No
2796-NNUFI,Female,No,Yes,Yes,46,19.95,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,927.1,No
3016-KSVCP,Male,No,Yes,No,29,33.75,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1009.25,No
4767-HZZHQ,Male,No,Yes,Yes,30,82.05,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),2570.2,No
2424-WVHPL,Male,Yes,No,No,1,74.7,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,No
7233-PAHHL,Male,No,Yes,Yes,66,84.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,5714.25,No
6067-NGCEU,Female,No,No,No,65,111.05,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),7107.0,No
9848-JQJTX,Male,No,No,No,72,100.9,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),7459.05,No
8637-XJIVR,Female,No,No,No,12,78.95,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,927.35,Yes
9803-FTJCG,Male,No,Yes,Yes,71,66.85,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),4748.7,No
0278-YXOOG,Male,No,No,No,5,21.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,113.85,Yes
3212-KXOCR,Male,No,No,No,52,21.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1107.2,No
4598-XLKNJ,Female,Yes,Yes,No,25,98.5,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2514.5,Yes
6380-ARCEH,Male,No,No,No,1,20.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,No
3679-XASPY,Female,No,Yes,Yes,1,19.45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,No
7123-WQUHX,Male,No,No,No,38,95.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),3605.6,No
5386-THSLQ,Female,Yes,Yes,No,66,45.55,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),3027.25,No
3192-NQECA,Male,No,Yes,No,68,110.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7611.85,Yes
6180-YBIQI,Male,No,No,No,5,24.3,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,100.2,No
6728-DKUCO,Female,No,Yes,Yes,72,104.15,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,7303.05,No
9750-BOOHV,Female,No,No,No,32,30.15,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,927.65,No
8597-CWYHH,Male,No,No,No,43,94.35,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,3921.3,No
2848-YXSMW,Male,No,Yes,Yes,72,19.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1363.25,No
0486-HECZI,Male,No,Yes,No,55,96.75,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,5238.9,Yes
4549-ZDQYY,Female,No,No,No,52,57.95,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),3042.25,No
5712-AHQNN,Female,No,No,No,43,91.65,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,3954.1,No
4846-WHAFZ,Female,Yes,Yes,No,37,76.5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2868.15,Yes
5256-SKJGO,Female,No,Yes,Yes,64,54.6,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,3423.5,No
3071-VBYPO,Male,No,Yes,Yes,3,89.85,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,248.4,No
9560-BBZXK,Female,No,No,No,36,31.05,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),1126.35,No
5299-RULOA,Female,No,Yes,Yes,10,100.25,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1064.65,Yes
8402-OOOHJ,Female,No,No,No,41,20.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,835.15,No
9445-ZUEQE,Male,No,Yes,Yes,27,85.2,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2151.6,No
1091-SOZGA,Female,No,Yes,Yes,56,99.8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),5515.45,No
2928-HLDBA,Female,No,No,No,6,20.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,112.75,No
0404-SWRVG,Male,No,No,No,3,74.4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,229.55,Yes
6497-TILVL,Female,No,Yes,Yes,7,50.7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,350.35,No
7219-TLZHO,Female,No,Yes,Yes,4,20.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,62.9,No
4622-YNKIJ,Male,No,No,No,33,88.95,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,3027.65,No
4412-YLTKF,Female,Yes,No,No,27,78.05,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,2135.5,Yes
6734-PSBAW,Male,No,Yes,No,72,23.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1723.95,No
3930-ZGWVE,Male,No,No,No,1,19.75,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,No
2639-UGMAZ,Male,Yes,No,No,71,56.45,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,3985.35,No
2876-GZYZC,Female,No,No,No,13,85.95,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1215.65,No
6207-WIOLX,Female,No,Yes,Yes,25,58.6,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1502.65,Yes
8587-XYZSF,Male,No,No,No,67,50.55,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),3260.1,No
3091-FYHKI,Male,No,No,No,1,35.45,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,Yes
2372-HWUHI,Male,No,No,No,2,44.35,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,81.25,Yes
7799-LGRDP,Female,No,No,No,43,25.7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),1188.2,No
7850-VWJUU,Female,No,No,No,23,75.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1778.5,No
3774-VBNXY,Female,No,Yes,Yes,64,20.2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1277.75,No
6217-KDYWC,Male,No,No,Yes,57,19.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1170.55,No
0390-DCFDQ,Female,Yes,Yes,No,1,70.45,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,Yes
3146-MSEGF,Female,Yes,Yes,Yes,72,88.05,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6425.65,No
4080-OGPJL,Female,No,No,No,8,71.15,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,563.65,Yes
1095-WGNGG,Female,No,Yes,No,61,101.05,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),5971.25,No
2636-SJDOU,Male,No,No,No,64,84.3,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),5289.05,No
1131-QQZEB,Male,Yes,Yes,No,71,23.95,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1756.2,No
5716-EZXZN,Female,No,Yes,Yes,65,99.05,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),6416.7,No
6837-BJYDQ,Male,No,No,No,3,19.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,61.35,No
2135-RXIHG,Male,No,No,No,1,45.65,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,Yes
6440-DKQGE,Male,No,No,Yes,30,64.5,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),1929.95,No
3466-BYAVD,Male,No,Yes,Yes,15,69.5,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,1071.4,No
3780-YVMFA,Female,No,Yes,Yes,8,68.55,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,564.35,No
3874-EQOEP,Male,No,No,No,7,95.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,655.5,Yes
1679-JRFBR,Female,No,Yes,Yes,70,108.15,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),7930.55,No
9073-ZZIAY,Male,No,Yes,Yes,62,86.1,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,5215.25,No
3077-RSNTJ,Female,No,Yes,Yes,6,19.7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,113.5,No
6551-GNYDG,Female,No,Yes,Yes,14,80.9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1152.8,No
9167-APMXZ,Female,No,No,No,22,84.15,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1821.95,No
2749-CTKAJ,Male,No,Yes,Yes,22,20.15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,419.9,No
6371-NZYEG,Male,No,Yes,Yes,16,64.25,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,1024.0,No
7554-NEWDD,Male,No,No,No,10,25.7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),251.6,No
8992-VONJD,Female,No,No,Yes,13,56.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,764.55,No
0867-MKZVY,Female,No,Yes,No,20,82.4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,1592.35,Yes
4482-EWFMI,Female,No,No,No,2,69.7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,135.2,No
4648-YPBTM,Male,No,No,No,53,73.9,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),3958.25,No
2907-ILJBN,Female,No,Yes,Yes,11,20.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,233.9,No
6345-FZOQH,Male,No,Yes,No,69,19.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1363.45,No
3376-BMGFE,Female,No,No,No,4,70.9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),273.0,Yes
5997-OPVFA,Male,No,Yes,No,72,89.05,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),6254.45,No
3445-HXXGF,Male,Yes,Yes,No,58,45.3,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,2651.2,Yes
